date	level	message	logger	exception	callsite	callsite-linenumber	processname	processid	machinename	sequenceid
2020-01-30 15:40:28.8910	Info	Loading the csv file	CallSite.Target		<no type>.CallSite.Target	0	powershell	8796	CN-CHUNLONL-618	28
2020-01-30 15:40:28.8910	Info	Connecting https://xia053-my.sharepoint.com/personal/vic_xia053_onmicrosoft_com	CallSite.Target		<no type>.CallSite.Target	0	powershell	8796	CN-CHUNLONL-618	31
2020-01-30 15:40:33.3380	Info	Found Everyone except external users, the LoginName is c:0-.f|rolemanager|spo-grid-all-users/ed3c1c81-f3be-495c-8028-f11b7ad6415a, now removing it from https://xia053-my.sharepoint.com/personal/vic_xia053_onmicrosoft_com	CallSite.Target		<no type>.CallSite.Target	0	powershell	8796	CN-CHUNLONL-618	32
2020-01-30 15:40:34.0060	Info	Everyone except external users has been removed from https://xia053-my.sharepoint.com/personal/vic_xia053_onmicrosoft_com	CallSite.Target		<no type>.CallSite.Target	0	powershell	8796	CN-CHUNLONL-618	33
2020-01-30 15:40:34.0060	Info	Connecting https://xia053.sharepoint.com/sites/18450478	CallSite.Target		<no type>.CallSite.Target	0	powershell	8796	CN-CHUNLONL-618	34
2020-01-30 15:40:44.7136	Info	Found Everyone except external users, the LoginName is c:0-.f|rolemanager|spo-grid-all-users/ed3c1c81-f3be-495c-8028-f11b7ad6415a, now removing it from https://xia053.sharepoint.com/sites/18450478	CallSite.Target		<no type>.CallSite.Target	0	powershell	8796	CN-CHUNLONL-618	35
2020-01-30 15:40:45.4286	Info	Everyone except external users has been removed from https://xia053.sharepoint.com/sites/18450478	CallSite.Target		<no type>.CallSite.Target	0	powershell	8796	CN-CHUNLONL-618	36
2020-01-30 15:42:02.8077	Info	Loading the csv file	CallSite.Target		<no type>.CallSite.Target	0	powershell	8796	CN-CHUNLONL-618	47
2020-01-30 15:42:02.8147	Info	Connecting https://xia053-my.sharepoint.com/personal/vic_xia053_onmicrosoft_com	CallSite.Target		<no type>.CallSite.Target	0	powershell	8796	CN-CHUNLONL-618	48
2020-01-30 15:42:06.7418	Info	Didn't find Everyone except external users from https://xia053-my.sharepoint.com/personal/vic_xia053_onmicrosoft_com	CallSite.Target		<no type>.CallSite.Target	0	powershell	8796	CN-CHUNLONL-618	49
2020-01-30 15:42:06.7418	Info	Connecting https://xia053.sharepoint.com/sites/18450478	CallSite.Target		<no type>.CallSite.Target	0	powershell	8796	CN-CHUNLONL-618	50
2020-01-30 15:42:10.2655	Info	Didn't find Everyone except external users from https://xia053.sharepoint.com/sites/18450478	CallSite.Target		<no type>.CallSite.Target	0	powershell	8796	CN-CHUNLONL-618	51
