Level,Message
Medium,Name=Request (POST:https://colliers.sharepoint.com/_forms/default.aspx<scrubbed>)
Medium,The request is for a root site - get the redirect URL directly colliers.sharepoint.com - colliers.sharepoint.com
Monitorable,Unknown SPSkuType types for [639dec6b-bb19-468b-871c-c5c441c4b0cb][be9f9771-1c64-4618-9907-244325141096][61902246-d7cb-453e-85cd-53ee28eec138]
Medium,"Initial: FileOperationType = [_Unknown], OperationId = [Authentication_FormsDefaultAuthPage], ComponentId = [AuthenticationApi]"
Medium,Intializing RpsContextCookie.
Medium,Extracting sign-in previous correlation ID from the rps context cookie. Value: '34421ba1-403f-4000-ff0a-2c2b431bb0f3'.
Unexpected,The ReturnUrl element is not a relative uri. Discarding.
Medium,Using the Source element for sign-in target path.
Medium,Creating claims operaton scope with sign-in target.
Medium,Skip the cookie authentication for this request.
High,There are no tasks to execute asynchronously.
Medium,Site=/
Unexpected,The ReturnUrl element is not a relative uri. Discarding.
Medium,Using the Source element for sign-in target path.
Medium,No groups on windows token.
Medium,"SyntexPAYGEnabled:'False', Is setting valid:'False', Features enabled:'None'."
Medium,Checking for MSA tenant.
Medium,Tested site for MSA context. Value: 'False'.
Medium,The site configuration environment is null.
Medium,MsaTenant: SPOAuthHelper NOT configuring for MsaTenant because MsaTenantUtils.IsMsaTenant() is false.
Medium,This default auth mode is set. Value: 'OpenIdConnect'.
Medium,Request has an OpenID Connect state element in the query string. Key: 'state'.
Medium,Page is not sign-out page load.
Medium,Page is not sign-out page load.
Medium,The OpenID Connect request elements were calculated. RequestElement: 'IdToken | NonceCookie | OpenIDConnectState'.
Medium,Request does not have element. Value: 'False'.
Medium,Request does not have element. Value: 'False'.
Medium,Request has element. Value: 'False'.
Medium,Request has element. Value: 'False'.
Medium,Request has element. Value: 'False'.
Medium,This OpenID Connect request is for sign-in and has all the needed request elements potentially.
Medium,"Request initialized. RequestAuthenticationMode: 'OpenIdConnect', RequestType: 'IdentityProviderSignInSuccessReturnRequest'."
Medium,EvoStsAuthenticationPipeline Start: My Scenario Start
Medium,Entering authentication pipeline...
Medium,Not an invitation acceptance request.
Medium,This is a return from an identity provider. The pre-sign in correlation id: '34421ba1-403f-4000-ff0a-2c2b431bb0f3'.
Medium,This is a sign-in request.
Medium,Trying to sign in with the token returning from authentication provider.
Medium,Using IRPSSignInCallback2 for TryToAuthenticateFromRequest.
Medium,Request has element. Value: 'False'.
Medium,Trying to sign-in by building an SPOAuthToken from the request.
Medium,Attempting to build an SPOAuthToken from request.
Medium,Getting OpenID Connect token string from HTTP POST body. Key: 'id_token'.
Medium,Found a value with the key. Adding key prefix to value. Key: 'id_token'.
High,The HTTP context info accessor does not have cached IP address.
Medium,The request is made with a token with key identifier 'q-23falevZhhD3hm9CQbkP5MQyU' and thumbprint 'ABEDB77DA95EBD98610F7866F4241B90FE4C4325'.
Medium,Successfully built an OpenID Connect JSON token object from the raw ticket.
Medium,Audience Guid matches current App Id Guid. Audience: '00000003-0000-0ff1-ce00-000000000000'.
Medium,Audience Guid matches current App Id Guid. Audience: '00000003-0000-0ff1-ce00-000000000000'.
Medium,Successfully validated OpenID Connect JSON token.
Medium,Getting OpenID Connect code string from form. Key: 'code'.
Medium,Found a value with the key. Key: 'code'.
Medium,"Id token: '{""typ"":""JWT"",""alg"":""RS256"",""x5t"":""q-23falevZhhD3hm9CQbkP5MQyU"",""kid"":""q-23falevZhhD3hm9CQbkP5MQyU""}.{""aud"":""00000003-0000-0ff1-ce00-000000000000"",""iss"":""https://sts.windows.net/049e3382-8cdc-477b-9317-951b04689668/"",""iat"":1712113965,""nbf"":1712113965,""exp"":1712117865,""acrs"":[""urn:user:registersecurityinfo""],""aio"":""AUQAu/8WAAAA5WP2sulVrYnAgApa2IiU/5wYyGhP/5Mas/Eq97nsf/PQ5GWi+oh/QoVS6kWPjeqaNZYCyaFKJSVgrk7PEGFmrw=="",""altsecid"":""5::10032002CC6815D0"",""amr"":[""pwd""],""auth_time"":1706733039,""c_hash"":""Ubyy7WkHoOuso27M-tkr4g"",""e_exp"":262797,""email"":""*@twgroup.co.nz"",""idp"":""https://sts.windows.net/07e47c7e-9339-473b-8138-adb77559c551/"",""ipaddr"":""203.97.64.20"",""name"":""*"",""nonce"":""FC08EF6B552810B042BB1ADEC22EAB27CE71C2736D719C88-B2A5BB7D90DF6846446A0A470A8D8BA38D49EA9925CCF4FFEB0CF1BC5E02B8C6"",""oid"":""6b8caf92-2bd6-4fc6-9ba2-3462b05cfc79"",""preferred_username"":""*"",""puid"":""10032002CE038AB7"",""rh"":""0.ARsAgjOeBNyMe0eTF5UbBGiWaAMAAAAAAPEPzgAAAAAAAAAbAEg."",""sid"":""4c736738-d5c4-4075-bde6-eca7974bfa50"",""sub"":""TlRti10Ln9tEE73wJcEKPxVDl5FeaFhfATsiFdTDIOU"",""tid"":""049e3382-8cdc-477b-9317-951b04689668"",""unique_name"":""*"",""upn"":""*@colliers.onmicrosoft.com"",""uti"":""6HhteOXMf0Om4IYmGtNbAA"",""ver"":""1.0"",""wids"":[""13bd1c72-6f4a-4dcf-985f-18d3b80f208a""],""xms_cc"":[""CP1""],""xms_mpci"":259200,""xms_pci"":3600}.<scrubbed>'."
Medium,Successfully built an SPOAuthToken from the OpenID Connect JSON token and raw ticket.
Medium,"With CCSWebV2, CachedCredentialsService is also a supported Identity Provider."
Medium,Got identity provider. Value: 'AadEvoSts'.
Medium,"Got the JSON token claim value as a date-time. ClaimType: 'iat', ClaimValue: '04/03/2024 03:12:45'."
Medium,"Token audience matches the client id. ClientIdentifier: '00000003-0000-0ff1-ce00-000000000000', Audience: '00000003-0000-0ff1-ce00-000000000000'."
Medium,"Token issuer identifier matches the current tenant identifier. TenantIdentifier: '049e3382-8cdc-477b-9317-951b04689668', IssuerIdentifier: 'https://sts.windows.net/049e3382-8cdc-477b-9317-951b04689668/'."
Medium,Got the tenant id from the JSON token. TenantId: '049e3382-8cdc-477b-9317-951b04689668'.
Medium,"Token tenant identifier matches the current tenant identifier. TenantIdentifier: '049e3382-8cdc-477b-9317-951b04689668', TokenTenantIdentifier: '049e3382-8cdc-477b-9317-951b04689668'."
Medium,Leaving Monitored Scope: (Name=SPOAuthToken.ValidateReferredTokenBinding;StaticScopeId=6jnkp) Execution Time=0.0197; CPU Milliseconds=0; Managed Bytes=1088; SQL Query Count=0; GCPauseMS=0; AllocBytes=2088;; Parent=Request (POST:https://colliers.sharepoint.com/_forms/default.aspx<scrubbed>)
Medium,The token is valid for sign-in pending Nonce cookie-token validation. Status: 'ValidTimeStamps | ValidAudience | ValidIssuer | ValidTenant | ValidNonceClaimPresent | ValidIdentityProvider | ValidRpsTokenV2 | ValidTokenBinding | ValidForOpenIdConnectInvitationAcceptanceWithoutNonceCheck | ValidForOpenIdConnectSignInWithoutNonceCheck | ValidForOpenIdConnectOperationsV2 | ValidForOpenIdConnectInvitationAcceptanceWithoutNonceCheckV2 | ValidForOpenIdConnectInvitationAcceptanceWithoutNonceCheckV3 | ValidForOpenIdConnectSignInWithoutNonceCheckV2'.
Medium,Ticket validation succeeded.
