Level,Message
Medium,Message removed because it contains renderlistdataasstream. Please see aka.ms\ULSSanitizer for details.
Medium,The SSDCache.Get call is complete. LatencyInMs : '0'.
Monitorable,Unknown SPSkuType types for [639dec6b-bb19-468b-871c-c5c441c4b0cb][be9f9771-1c64-4618-9907-244325141096][61902246-d7cb-453e-85cd-53ee28eec138]
Medium,"The protobuf session security token has valid session. Valid from : '4/3/2024 3:23:11 AM', Valid to : '4/3/2024 1:23:11 PM'."
Medium,InitializeValidFromTime: No valid from claim present.
Medium,"The protobuf session token reconstructed. Valid from : '4/3/2024 3:23:11 AM',Valid to : '4/3/2024 1:23:11 PM'."
Medium,InitializeValidFromTime: No valid from claim present.
Medium,The logon token retriever is cleared before caching into the memory cache.
Medium,"Initial: FileOperationType = [RenderListDataAsStream], OperationId = [SPRequest_REST_Unknown], ComponentId = [REST]"
Medium,"The claims counter scope has already more expensive cache hit category. Existing Category: 'CacheHitVelocity', New category : 'CacheVelocityHit'."
Medium,Leaving Monitored Scope: (Name=SPTokenCache.TryGetCacheEntry;StaticScopeId=6jngd) Execution Time=0.0663; CPU Milliseconds=0; Managed Bytes=1992; SQL Query Count=0; GCPauseMS=0; AllocBytes=3216;; Parent=SPSam.OnAuthenticateRequest::WifCodeCall
Medium,IsTokenBindingIdValidForConnection: TLS token binding result evaluated. Result:'True'.
Medium,"IsTokenBindingIdValidForConnection: TLS token binding mode is set to none, setting result to true."
Medium,The asynchronous logon token refresh is disabled for the directory guest users.
Medium,The asynchronous logon token cache refresh for cookie scenario is disabled for current request.
Medium,Cookie lifetime refresh window value: '691200000000'.
Medium,"Writing cookie with value. Name: 'rtFa', Domain: 'sharepoint.com', Path: '/', RequireSsl: 'True'."
Medium,The browser does support Partition at revision 3 of RFC6265.
Medium,The browser does support SameSite at revision 3 of RFC6265.
Medium,"Writing cookie with value. Name: 'SIMI', Domain: 'sharepoint.com', Path: '/', RequireSsl: 'True'."
Medium,"Token cache: Sign-in correlation id: '83421ba1-90ce-5000-3bd3-67dec0971e06', Renewal correlation id: '83421ba1-90ce-5000-3bd3-67dec0971e06'."
Medium,"Setting current token issued at time. IAT: '04/03/2024 03:18:08', and adjustAADSkewTime True."
Medium,Leaving Monitored Scope: (Name=SPTokenCache.EvaluateAndCacheSessionAndPolicyData;StaticScopeId=6jndx) Execution Time=0.7247; CPU Milliseconds=0; Managed Bytes=75664; SQL Query Count=0; GCPauseMS=0; AllocBytes=76888;; Parent=SPSam.OnAuthenticateRequest::WifCodeCall
Medium,SPApplicationAuthenticationModule: Couldn't find a valid token in the request.
High,"SPApplicationAuthenticationModule:: AuthenticateRequest finished. Error code: 'NoIdentitySet', Error info: 'Could not authenticate using provided token.'."
Medium,Leaving Monitored Scope: (Name=Application Authentication Pipeline;StaticScopeId=6jnft) Execution Time=0.1528; CPU Milliseconds=0; Managed Bytes=3640; SQL Query Count=0; GCPauseMS=0; AllocBytes=4864;; Parent=SPClaimsCounterScope
Medium,Encountered empty or invalid OAuth token on request. Do not bypass FormDigest for OAuth.
Medium,The authentication settings retrieval will be evaluated on a separate task.
