SharePoint Foundation	Unified Logging Service	b8fx	High	ULS Init Completed (PowerShell.exe, onetnative.dll)
SharePoint Foundation	Topology	apzn	Medium	Diagnostics settings: 32768
SharePoint Foundation	Monitoring	ajjub	Medium	Processor speed: 2594
SharePoint Foundation	Upgrade	ajyw6	Medium	12/16/2021 04:00:37.12 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPHierarchyManager ajyw6 DEBUG [SPTree Value=SPConfigurationDatabase] added to dependency cache by lookup 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyx0	Medium	12/16/2021 04:00:37.98 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyx0 DEBUG Waiting for mutex to initialize type dictionary 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyx1	Medium	12/16/2021 04:00:37.98 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyx1 DEBUG Obtained mutex 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyx2	Medium	12/16/2021 04:00:37.98 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyx2 DEBUG Registering assemblies and sequences 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Config DB	bh5xs	Medium	Config cache. Operation: Read. SLA: 30
SharePoint Foundation	Config DB	a6m43	Medium	Querying the DB for Name:[] of 00000000-0000-0000-0000-000000000000 with type:[Microsoft.SharePoint.Administration.SPFarm]    at Microsoft.SharePoint.Administration.SPConfigurationDatabase.FetchId(QualifiedObjectName qName, Boolean& querySucceeded)     at Microsoft.SharePoint.Administration.SPConfigurationDatabase.GetObject(String name, Guid parentId, Type type)     at Microsoft.SharePoint.Administration.SPConfigurationDatabase.get_Farm()     at Microsoft.SharePoint.Administration.SPDatabase.OnDeserialization()     at Microsoft.SharePoint.Administration.SPConfigurationDatabase.OnDeserialization()     at Microsoft.SharePoint.Administration.SPPersistedObject.OnDeserializationWithTrace()     at Microsoft.SharePoint.Administration.SPPersistedObject.Initialize(ISPPersistedStoreProvider persistedStoreProvider, Guid id, Guid parentId, String name, SPObjectStatus status, Int64 version, XElement state)     at Microsoft.SharePoint.Administration.SPFileSystemCache.FetchObjectFromFileSystem(Guid id, Boolean idFieldsOnly, SPPersistedObjectContainerFields& fields)     at Microsoft.SharePoint.Administration.SPFileSystemCache.GetValue(Guid id)     at Microsoft.SharePoint.Administration.SPCache`2.get_Item(K key)     at Microsoft.SharePoint.Administration.SPConfigurationDatabase.GetObject(Guid id, Boolean checkInMemoryCache, Boolean checkFileSystemCache, Boolean checkDatabase)     at Microsoft.SharePoint.Administration.SPConfigurationDatabase.Initialize(SqlConnectionStringBuilder connectionString, Boolean enableCaching, Boolean checkCompatibility, Boolean bindRequestGuid)     at Microsoft.SharePoint.Administration.SPConfigurationDatabase.Initialize(SqlConnectionStringBuilder connectionString, Boolean enableCaching, Boolean checkCompatibility)     at Microsoft.SharePoint.Administration.SPConfigurationDatabase.get_Local()     at Microsoft.SharePoint.Administration.SPFarm.FindLocal(SPFarm& farm, Boolean& isJoined)     at Microsoft.SharePoint.Administration.SPFarm.get_Local()     at Microsoft.SharePoint.Administration.SPWebService.get_ContentService()     at Microsoft.SharePoint.Upgrade.SPDelegateManager.GetAssembliesForDatabaseExtensions(List`1 list)     at Microsoft.SharePoint.Upgrade.SPDelegateManager.get_InitialTypeDictionary()     at Microsoft.SharePoint.Upgrade.SPDelegateManager.GetDelegateTypes(Type tpObject)     at Microsoft.SharePoint.Upgrade.SPDelegateManager.GetDelegates(Object o)     at Microsoft.SharePoint.Upgrade.SPDelegateManager.GetUpgraders(Object o)     at Microsoft.SharePoint.Upgrade.SPUpgradeSession.CanUpgrade(Object o)     at Microsoft.SharePoint.Administration.SPPersistedUpgradableObject.get_CanUpgrade()     at Microsoft.SharePoint.Upgrade.SPUpgradeSession.ReflexiveCanUpgrade(Object o)     at Microsoft.SharePoint.Upgrade.SPUpgradeSession.NeedsUpgrade(Object o, Boolean bRecurse)     at Microsoft.SharePoint.Administration.SPPersistedUpgradableObject.get_NeedsUpgrade()     at Microsoft.SharePoint.Administration.SPPersistedUpgradableObject.ValidateBackwardsCompatibility()     at Microsoft.SharePoint.Administration.SPConfigurationDatabase.Initialize(SqlConnectionStringBuilder connectionString, Boolean enableCaching, Boolean checkCompatibility, Boolean bindRequestGuid)     at Microsoft.SharePoint.Administration.SPConfigurationDatabase.Initialize(SqlConnectionStringBuilder connectionString, Boolean enableCaching, Boolean checkCompatibility)     at Microsoft.SharePoint.Administration.SPConfigurationDatabase.get_Local()     at Microsoft.SharePoint.Administration.SPFarm.FindLocal(SPFarm& farm, Boolean& isJoined)     at Microsoft.SharePoint.Administration.SPFarm.get_Local()     at Microsoft.SharePoint.Administration.SPWebService.get_ContentService()     at Microsoft.SharePoint.PowerShell.SPCmdletSnapIn.get_Cmdlets()     at System.Management.Automation.Runspaces.InitialSessionState.MergeCustomPSSnapIn(PSSnapInInfo psSnapInInfo, CustomPSSnapIn customPSSnapIn)     at System.Management.Automation.Runspaces.InitialSessionState.LoadCustomPSSnapIn(PSSnapInInfo psSnapInInfo)     at System.Management.Automation.Runspaces.InitialSessionState.ImportPSSnapIn(PSSnapInInfo psSnapInInfo, PSSnapInException& warning)     at System.Management.Automation.Runspaces.InitialSessionState.ImportPSSnapIn(String name, PSSnapInException& warning)     at Microsoft.PowerShell.Commands.AddPSSnapinCommand.AddPSSnapIns(Collection`1 snapInList)     at Microsoft.PowerShell.Commands.AddPSSnapinCommand.ProcessRecord()     at System.Management.Automation.CommandProcessor.ProcessRecord()     at System.Management.Automation.CommandProcessorBase.DoExecute()     at System.Management.Automation.Internal.PipelineProcessor.SynchronousExecuteEnumerate(Object input)     at System.Management.Automation.PipelineOps.InvokePipeline(Object input, Boolean ignoreInput, CommandParameterInternal[][] pipeElements, CommandBaseAst[] pipeElementAsts, CommandRedirection[][] commandRedirections, FunctionContext funcContext)     at System.Management.Automation.Interpreter.ActionCallInstruction`6.Run(InterpretedFrame frame)     at System.Management.Automation.Interpreter.EnterTryCatchFinallyInstruction.Run(InterpretedFrame frame)     at System.Management.Automation.Interpreter.EnterTryCatchFinallyInstruction.Run(InterpretedFrame frame)     at System.Management.Automation.Interpreter.EnterTryCatchFinallyInstruction.Run(InterpretedFrame frame)     at System.Management.Automation.Interpreter.EnterTryCatchFinallyInstruction.Run(InterpretedFrame frame)     at System.Management.Automation.Interpreter.EnterTryCatchFinallyInstruction.Run(InterpretedFrame frame)     at System.Management.Automation.Interpreter.Interpreter.Run(InterpretedFrame frame)     at System.Management.Automation.Interpreter.LightLambda.RunVoid1[T0](T0 arg0)     at System.Management.Automation.PSScriptCmdlet.RunClause(Action`1 clause, Object dollarUnderbar, Object inputToProcess)     at System.Management.Automation.PSScriptCmdlet.DoEndProcessing()     at System.Management.Automation.CommandProcessorBase.Complete()     at System.Management.Automation.CommandProcessorBase.DoComplete()     at System.Management.Automation.Internal.PipelineProcessor.DoCompleteCore(CommandProcessorBase commandRequestingUpstreamCommandsToStop)     at System.Management.Automation.Internal.PipelineProcessor.SynchronousExecuteEnumerate(Object input)     at System.Management.Automation.Runspaces.LocalPipeline.InvokeHelper()     at System.Management.Automation.Runspaces.LocalPipeline.InvokeThreadProc()     at System.Management.Automation.Runspaces.PipelineThread.WorkerProc()     at System.Threading.ExecutionContext.RunInternal(ExecutionContext executionContext, ContextCallback callback, Object state, Boolean preserveSyncCtx)     at System.Threading.ExecutionContext.Run(ExecutionContext executionContext, ContextCallback callback, Object state, Boolean preserveSyncCtx)     at System.Threading.ExecutionContext.Run(ExecutionContext executionContext, ContextCallback callback, Object state)     at System.Threading.ThreadHelper.ThreadStart()
SharePoint Foundation	Config Cache	a0ic2	Medium	Refreshed SPPersistedObject with Name AllowedSafeDomain, Id d12db8dc-f50a-44b3-962d-e80e49a77f4f, Parent 72c21c97-25b5-4a08-ac9d-4edb83dfc99a, Version 2762035. Last update info: [User: GLOBALNET\svc-iKM-farmadm Process:psconfigui (9028) Machine:HKDC2VMSPWFE01 Time:August 14, 2021 21:55:21.0000 Stack trace (Thread [11] CorrelationId [00000000-0000-0000-0000-000000000000]): ]
SharePoint Foundation	Config Cache	a0ic2	Medium	Refreshed SPPersistedObject with Name SharePoint_Config, Id 72c21c97-25b5-4a08-ac9d-4edb83dfc99a, Parent 72c21c97-25b5-4a08-ac9d-4edb83dfc99a, Version 5043143. Last update info: [User: GLOBALNET\svc-iKM-farmadm Process:psconfigui (2720) Machine:HKDC2VMSPWFE01 Time:November 20, 2021 23:48:11.0000 Stack trace (Thread [24] CorrelationId [00000000-0000-0000-0000-000000000000]): ]
